<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:23:21	0,31	0,23	0,21	0,21	0,15	0,10	0,05	0,03	0,00	0,08	0,00	0,42	0,34	0,00	0,92	0,00
12.06.2025 13:23:22	0,32	0,21	0,25	0,22	0,09	0,15	0,04	0,09	0,10	0,16	0,26	0,21	0,69	0,00	0,00	0,00
12.06.2025 13:23:23	0,33	0,28	0,22	0,25	0,15	0,14	0,07	0,06	0,14	0,08	0,13	0,42	0,34	0,56	0,00	3,02
12.06.2025 13:23:24	0,32	0,21	0,21	0,23	0,15	0,09	0,11	0,09	0,05	0,08	0,26	0,63	0,00	0,00	0,00	1,51
12.06.2025 13:23:25	0,34	0,22	0,22	0,27	0,13	0,15	0,07	0,03	0,05	0,23	0,13	0,21	0,34	0,00	0,92	4,52
12.06.2025 13:23:26	0,31	0,24	0,24	0,27	0,15	0,14	0,07	0,03	0,19	0,23	0,26	0,21	0,34	0,00	0,00	0,00
12.06.2025 13:23:27	0,30	0,21	0,25	0,26	0,19	0,05	0,07	0,12	0,00	0,23	0,26	0,21	1,03	1,69	0,92	0,00
12.06.2025 13:23:28	0,31	0,24	0,20	0,23	0,14	0,14	0,04	0,12	0,14	0,16	0,26	0,42	0,69	0,56	0,00	4,52
12.06.2025 13:23:29	0,29	0,24	0,22	0,23	0,15	0,13	0,14	0,09	0,10	0,16	0,26	0,42	0,34	0,00	1,84	0,00
12.06.2025 13:23:30	0,30	0,22	0,24	0,25	0,15	0,13	0,07	0,17	0,14	0,16	0,00	0,00	0,00	0,56	0,00	4,52
12.06.2025 13:23:31	0,32	0,21	0,22	0,23	0,13	0,21	0,11	0,06	0,05	0,23	0,26	0,21	0,00	0,56	0,00	1,51
12.06.2025 13:23:32	0,30	0,21	0,24	0,22	0,12	0,12	0,09	0,12	0,05	0,08	0,13	0,21	0,34	0,56	0,00	1,51
12.06.2025 13:23:33	0,29	0,23	0,18	0,19	0,15	0,12	0,12	0,12	0,14	0,16	0,13	0,21	0,34	1,12	0,92	1,51
12.06.2025 13:23:34	0,27	0,23	0,20	0,20	0,12	0,09	0,05	0,03	0,10	0,08	0,00	0,00	0,00	0,00	0,00	3,02
12.06.2025 13:23:35	0,30	0,22	0,22	0,25	0,09	0,10	0,16	0,03	0,19	0,16	0,13	0,21	0,00	0,00	0,92	3,02
12.06.2025 13:23:36	0,32	0,23	0,20	0,25	0,17	0,08	0,07	0,06	0,00	0,00	0,51	1,05	0,69	0,00	0,00	1,51
12.06.2025 13:23:37	0,32	0,24	0,26	0,21	0,14	0,14	0,11	0,09	0,05	0,00	0,13	0,42	0,34	0,00	0,92	6,03
12.06.2025 13:23:38	0,31	0,24	0,24	0,25	0,16	0,14	0,04	0,00	0,00	0,08	0,26	0,21	0,34	1,69	1,84	0,00
